  1x  "의 성 예루살렘 | 주의 거룩한 산에서 떠"
  1x  "반드시 한 때 | 두 때, 반 때를 지나"
  1x  "사람을갑돌에서 | 아람 사람을 길에서 올"
  1x  "서로 이르되 자 | 우리가 제비를 뽑아 이"
  1x  "시온을 피로 | 예루살렘을 죄악으로 건"
  1x  "소리 뛰는 말 | 달리는 병거"
  1x  "충돌하는 기병 | 번쩍이는 칼, 번개 같"
  1x  "살륙 당한 떼 | 큰 무더기 주검, 무수"
  1x  "이 시행되기 전 | 광음이 겨 같이 날아"
  1x  "지나가기 전 | 여호와의 진노가 너희에"
  1x  "게 임하기 전 | 여호와의 분노의 날이"
  1x  "하고 더러운 곳 | 포학한 그 성읍이 화"
  1x  "불러 이 땅에 | 산에, 곡물에, 새 포"
  1x  "도주에, 기름에 | 땅의 모든 소산에, 사"
  1x  "느냐  포도나무 | 무화과나무, 석류나무,"
  1x  "너희가 악한 길 | 악한 행실을 떠나서 돌"
  1x  "에게 선한 말씀 | 위로하는 말씀으로 대답"
  1x  "외치기를 은총 | 은총이 그에게 있을지어"
  1x  "돌이 그에게로서 | 말뚝이 그에게로서, 싸"
  1x  "활이 그에게로서 | 권세 잡은 자가 다 일"
  1x  "자는 죽는대로 | 망할 자는 망할대로,"
  1x  "칼이 그 팔에 | 우편 눈에 임하리니 그"
  1x  "깨어서 내 목자 | 내 짝된 자를 치라 목"
  1x  "절반은 동해로 | 절반은 서해로 흐를 것"
  1x  "니하며 저는 것 | 병든 것으로 드리는 것"
  1x  "고통에 걸린 자 | 귀신 들린 자, 간질하"
  1x  "는 자 | 중풍병자들을 데려오니"
  1x  "빌립과 바돌로매 | 도마와 세리 마태, 알"
  1x  "지매 혹 백 배 | 혹 육십 배, 혹 삼십"
  1x  "하여 혹 백 배 | 혹 육십 배, 혹 삼십"
  1x  "형제들은 야고보 | 요셉, 시몬, 유다라"
  1x  "러는 세례 요한 | 더러는 엘리야 어떤 이"
  1x  "는 상속자니 자 | 죽이고 그의 유업을 차"
  1x  "곧 나의 하나님 | 나의 하나님, 어찌하여"
  1x  "대답하되 선생님 | 벙어리 귀신 들린 내"
  1x  "는 주의 우편에 | 하나는 좌편에 앉게 하"
  1x  "는 상속자니 자 | 죽이자 그러면 그 유업"
  1x  "가라사대 아바 | 아버지여 아버지께는 모"
  1x  "여 가로되 아하 | 성전을 헐고 사흘에 짓"
  1x  "아 | 나사렛 예수여 우리가"
  1x  "이르되 선생님 | 내 형을 명하여 유업을"
  1x  "사람들 곧 토색 | 불의,간음을 하는 자들"
  1x  "짜오되 보옵소서 | 우리가 우리의 것을 다"
  1x  "되 그러면 무엇 | 네가 엘리야냐  가로되"
  1x  "라 가니 베드로 | 요한, 야고보, 안드레"
  1x  "와 빌립 | 도마와 바돌로매, 마태"
  1x  "의 아들 야고보 | 셀롯인 시몬, 야고보의"
  1x  "하니 가로되 예 | 이뿐이로라"
  1x  "디노, 구레네인 | 알렉산드리아인, 길리기"
  1x  "든 불의, 추악 | 탐욕, 악의가 가득한"
  1x  "요 시기, 살인 | 분쟁, 사기, 악독이"
  1x  "즉 믿음, 소망 | 사랑, 이 세가지는 항"
  1x  "영광도 다른데 | 별과 별의 영광이 다르"
  1x  "아 경영하여 예 | 예 하고 아니 아니라"
  1x  "는 이방인에게로 | 저희는 할례자에게로 가"
  1x  "데 보내사 아바 | 아버지라 부르게 하셨느"
  1x  "리스도의 하나님 | 영광의 아버지께서 지혜"
  1x  "가 혹은 사도로 | 혹은 선지자로, 혹은"
  1x  "음 전하는 자로 | 혹은 목사와 교사로 주"
  1x  "고 오직 한 일 | 즉 뒤에 있는 것은 잊"
  1x  "사모하는 형제들 | 나의 기쁨이요 면류관인"
  1x  "게는 갈라디아로 | 디도는 달마디아로 갔고"
  1x  "오 | 형제여 나로 주 안에서"
  1x  "아리스다고 데마 | 누가가 문안하느니라"
  1x  "하리요 기드온 | 바락, 삼손, 입다와"
  1x  "싸움이 어디로 | 다툼이 어디로 좇아 나"
  1x  "거하여 어느 시 | 어떠한 때를 지시하시는"
  1x  "절제를 절제에 | 인내를 인내에 경건을"
  1x  "에 써서 에베소 | 서머나 버가모, 두아디"
  1x  "라 사데 | 빌라델비아 라오디게아"
  1x  "는 자들에게 화 | 화, 화가 있으리로다"
  1x  "그들은 그 년 | 월,일,시에 이르러 사"
  1x  "여 가로되 아멘 | 할렐루야 하니"
  1x  "동편에 세 문 | 북편에 세 문, 남편에"
  1x  "세 문 | 서편에 세 문이니"

Total: 413 patterns, 425 instances
